synid,class_name,urls,flickr_urls
n02960352,car,910,356
n02962414,car carrier,456,118
n02964295,car-ferry,360,299
n02965122,cargo helicopter,429,206
n02965216,cargo liner,913,35
n02965300,cargo ship,1178,739
n02968210,carrack,36,28
n02968473,carriage,1163,815
n02969010,carriage,1281,948
n02969886,carrier,356,8
n02970849,cart,624,383
n02971579,car train,692,446
n02981792,catamaran,1338,791
n02982416,catboat,857,350
n02983507,Caterpillar,171,86
n02986066,cattle car,127,40
n03002341,chairlift,1252,1066
n03009269,chariot,86,57
n03025165,choo-choo,441,336
n03027505,chuck wagon,245,126
n03044934,clipper,562,21
n03045074,clipper,188,5
n03045228,clipper,1168,683
n03053976,club car,215,149
n03055670,coach,381,119
n03056097,coal car,302,214
n03061345,cockleshell,625,542
n03078802,commuter,1237,851
n03078995,compact,1185,383
n03079136,compact,1101,500
n03095699,container ship,1613,1083
n03100240,convertible,1887,1226
n03100346,convertible,1129,443
n03105306,coracle,1180,547
n03119396,coupe,1464,943
n03122202,covered couch,1162,785
n03122295,covered wagon,1107,663
n03125870,craft,1365,467
n03140771,cruise missile,240,73
n03140900,cruiser,216,47
n03141065,cruiser,1321,890
n03141327,cruise ship,1256,791
n03154073,cutter,1015,596
n03154316,cutter,71,42
n03166120,deadhead,61,36
n03173929,delivery truck,1335,673
n03174079,delta wing,332,247
n03180504,destroyer,1386,514
n03180732,destroyer escort,435,37
n03186285,dhow,1102,617
n03193260,diesel-electric locomotive,1185,589
n03193423,diesel-hydraulic locomotive,1125,630
n03193597,diesel locomotive,1424,1306
n03199647,diner,1136,1018
n03199901,dinghy,1164,795
n03200357,dining car,843,548
n03215191,dive bomber,350,154
n03217739,dogcart,53,6
n03218198,dogsled,1188,779
n03219612,dolly,463,11
n03235979,dray,397,289
n03236093,dreadnought,444,44
n03236423,dredger,835,578
n03245724,drone,829,117
n03245889,drone,625,227
n03254189,dugout,1102,823
n03254374,dugout canoe,1104,568
n03255899,dumpcart,976,6
n03256166,dump truck,1170,689
n03256788,dune buggy,1116,668
n03266371,eggbeater,874,187
n03268790,electric,1169,829
n03272562,electric locomotive,1217,1030
n03287733,engine,1797,917
n03288003,engine,483,413
n03304197,Exocet,112,8
n03306385,express,1190,685
n03316873,factory ship,200,100
n03321103,fanjet,1508,585
n03321419,fanjet,203,45
n03327133,felucca,1147,594
n03329663,ferry,1349,757
n03335030,fighter,1374,744
n03342961,finisher,145,12
n03344393,fireboat,1365,978
n03345487,fire engine,1356,1091
n03351262,fishing boat,172,135
n03356038,flagship,48,20
n03360300,flatbed,1279,760
n03360731,flatcar,209,89
n03365231,floatplane,1147,611
n03373611,flying boat,563,366
n03384352,forklift,1465,820
n03388323,four-in-hand,765,16
n03389611,four-wheel drive,1940,598
n03389761,four-wheel drive,1304,1050
n03389889,four-wheeler,1341,939
n03393912,freight car,1311,1143
n03394272,freight liner,1837,715
n03394480,freight train,1485,812
n03397266,frigate,1173,561
n03397412,frigate,166,81
n03404012,funny wagon,240,101
n03411339,galleon,66,44
n03412387,galley,3,3
n03417042,garbage truck,1155,640
n03421669,gas guzzler,751,367
n03426871,gas-turbine ship,202,36
n03435991,gharry,953,893
n03436656,gig,417,26
n03436772,gig,35,22
n03436891,gig,816,524
n03436990,gig,126,118
n03439814,glider,1101,712
n03444034,go-kart,1340,1060
n03445924,golfcart,1447,1041
n03447447,gondola,1172,909
n03464628,guard boat,316,253
n03465151,guard ship,498,353
n03465320,guard's van,44,4
n03466162,guided missile,408,45
n03466493,guided missile cruiser,1023,233
n03466600,guided missile frigate,1101,599
n03468570,gunboat,127,47
n03470948,gurney,377,71
n03472937,gypsy cab,82,4
n03478589,half track,1270,711
n03483971,handcar,495,262
n03484083,handcart,1197,571
n03490119,hand truck,1473,362
n03491032,hang glider,1272,813
n03492087,hansom,101,26
n03493219,hardtop,213,139
n03498662,hatchback,1160,668
n03498781,hatchback,1177,622
n03506880,hearse,1168,800
n03509843,heat-seeking missile,65,4
n03510583,heavier-than-air craft,61,2
n03512147,helicopter,1247,592
n03538179,horsebox,1200,123
n03538300,horsecar,127,7
n03538406,horse cart,1211,920
n03538634,horse-drawn vehicle,784,307
n03539103,horseless carriage,406,230
n03541269,hospital ship,880,301
n03541393,hospital train,172,30
n03541923,hot-air balloon,1414,927
n03543394,hot rod,1202,976
n03545470,houseboat,1198,591
n03547229,hovercraft,1340,941
n03548533,hulk,288,223
n03549199,Humvee,1239,566
n03552749,hydrofoil,1111,933
n03553019,hydrofoil,1252,1109
n03556811,iceboat,371,186
n03556992,icebreaker,474,274
n03567788,Indiaman,274,190
n03577672,interceptor,1239,386
n03578251,intercontinental ballistic missile,658,60
n03585551,ironclad,98,49
n03585778,iron horse,428,256
n03594010,jaunting car,124,54
n03594945,jeep,1415,1007
n03595860,jet,1232,885
n03596543,jetliner,1624,1295
n03599486,jinrikisha,1100,681
n03602081,jolly boat,1137,580
n03603594,junk,634,417
n03604311,jumbojet,1132,601
n03609235,kayak,1240,683
n03609786,keelboat,22,2
n03612010,ketch,1061,473
n03621694,kite balloon,355,307
n03632852,ladder truck,1327,942
n03638014,landau,88,2
n03638180,lander,344,152
n03638623,landing craft,168,78
n03647423,launch,117,3
n03648431,laundry cart,952,158
n03660562,Liberty ship,285,140
n03662601,lifeboat,1243,938
n03666591,lighter,1599,770
n03666917,lighter-than-air craft,609,394
n03668488,lightship,1061,649
n03669245,limber,116,63
n03670208,limousine,1693,1042
n03673027,liner,1385,1067
n03673270,liner,1,1
n03680512,loaner,1003,533
n03680942,local,1389,721
n03684823,locomotive,1193,828
n03690473,lorry,658,607
n03695753,luge,468,115
n03696445,lugger,386,97
n03697366,lunar excursion module,314,240
n03698604,luxury liner,862,339
n03699975,machine,1967,785
n03700963,machine,877,161
n03703075,mackinaw,262,2
n03703203,mackinaw,194,58
n03709644,mail,59,56
n03710079,mailboat,20,12
n03711044,mail train,916,363
n03718212,man-of-war,1180,527
n03718699,MANPAD,74,1
n03752922,meteorological balloon,221,4
n03764276,military vehicle,1231,956
n03764822,milk float,693,402
n03765467,milk wagon,13,8
n03768823,minelayer,142,4
n03769722,minibike,4,4
n03769881,minibus,1292,737
n03770085,minicar,551,346
n03770679,minivan,1555,731
n03772674,Minuteman,188,42
n03773504,missile,1220,636
n03776460,mobile home,1172,672
n03777568,Model T,1268,993
n03783873,monoplane,230,112
n03785016,moped,1264,878
n03790230,motorboat,1229,833
n03790512,motorcycle,1380,696
n03791053,motor scooter,1427,902
n03791235,motor vehicle,1748,875
n03792782,mountain bike,1641,825
n03796401,moving van,676,314
n03798610,multiengine airplane,409,212
n03809312,narrowbody aircraft,636,146
n03811295,nautilus,1161,311
n03828020,nonsmoker,1575,7
n03833907,nuclear-powered ship,69,2
n03845190,oil tanker,1272,776
n03853924,ordinary,723,337
n03857156,orthopter,64,5
n03859170,outboard motorboat,1008,630
n03861430,outrigger canoe,982,778
n03868242,oxcart,1186,669
n03870105,pace car,1122,747
n03871628,packet,1181,669
n03874138,paddle steamer,1220,720
n03878294,palanquin,324,191
n03881534,panda car,102,77
n03884639,pantechnicon,316,22
n03886053,panzer,1095,416
n03895866,passenger car,986,608
n03896103,passenger ship,1161,753
n03896233,passenger train,1357,812
n03896419,passenger van,1169,256
n03900194,patrol boat,379,155
n03904433,pedicab,1364,994
n03919096,personnel carrier,1506,394
n03930431,picket ship,50,5
n03930630,pickup,1443,919
n03939178,pilot boat,1127,834
n03939565,pilot engine,213,13
n03947888,pirate,634,513
n03954731,plane,1111,374
n03955296,plane,747,149
n03973003,pocket battleship,60,3
n03977592,police boat,1096,760
n03977966,police van,1200,903
n03981566,pontoon,1224,445
n03981924,pony cart,803,465
n03989199,post chaise,49,6
n04006067,privateer,352,226
n04008634,projectile,1464,719
n04012084,propeller plane,1173,951
n04012482,propjet,686,475
n04017807,PT boat,438,167
n04019101,public transport,1293,1060
n04020912,Pullman,1193,602
n04024983,punt,1144,959
n04026813,push-bike,1789,736
n04027706,pusher,1306,441
n04037443,racer,1552,1005
n04037964,racing boat,1281,874
n04038231,racing gig,1205,981
n04038338,racing skiff,1091,805
n04062644,reconnaissance plane,35,15
n04062807,reconnaissance vehicle,145,53
n04065272,recreational vehicle,1433,717
n04070964,refrigerator car,263,24
n04091097,rig,1172,659
n04091466,rigger,384,1
n04091584,rigger,37,10
n04095210,river boat,1176,777
n04097373,roadster,1197,818
n04099175,rocket,1696,736
n04099429,rocket,896,242
n04103364,rolling stock,989,711
n04103918,roll-on roll-off,1075,132
n04108999,rope tow,278,158
n04115456,rowing boat,1294,896
n04126066,safety bicycle,1255,585
n04128499,sailboat,1191,854
n04128837,sailing vessel,1208,775
n04129490,sailing warship,93,77
n04133114,sampan,379,274
n04146614,school bus,1303,899
n04146862,school ship,595,507
n04147183,schooner,1235,727
n04147291,schooner,6,2
n04149374,scooter,485,13
n04150273,scow,9,6
n04150371,scow,210,95
n04156946,scull,1209,1059
n04158807,sea boat,1177,767
n04160586,seaplane,1268,831
n04166281,sedan,1932,974
n04166436,sedan,84,74
n04170037,self-propelled vehicle,1008,230
n04172342,semitrailer,1168,640
n04176068,serving cart,1033,50
n04190747,shell,247,204
n04190997,shell,640,293
n04194289,ship,1261,945
n04196502,shipping,1581,872
n04197110,shipwreck,1570,1254
n04201733,shooting brake,1950,878
n04204347,shopping cart,1423,1258
n04208760,showboat,588,280
n04210288,shrimper,444,187
n04211219,shunter,883,704
n04211857,shuttle,1130,588
n04211970,shuttle,644,231
n04212165,shuttle bus,1255,638
n04212467,shuttle helicopter,516,119
n04214282,sidecar,1414,1057
n04215800,side-wheeler,14,8
n04215910,sidewinder,133,66
n04222723,single prop,776,266
n04223066,single-rotor helicopter,177,54
n04224543,sister ship,1141,341
n04225987,skateboard,1289,1081
n04228422,skibob,345,1
n04229007,skidder,497,87
n04229480,skiff,1197,881
n04230487,ski-plane,291,109
n04231693,ski tow,1185,969
n04232437,skyhook,125,69
n04235291,sled,838,631
n04235646,sleeper,137,3
n04235771,sleeper,323,38
n04236001,sleeping car,327,58
n04242408,sloop,916,348
n04242587,sloop of war,9,1
n04244847,smack,414,373
n04244997,small boat,1205,797
n04245412,small ship,28,20
n04246855,smoker,1027,925
n04250599,Sno-cat,422,97
n04252077,snowmobile,1338,949
n04252225,snowplow,1096,646
n04262530,sounding rocket,265,13
n04264765,space capsule,1098,831
n04264914,spacecraft,1364,390
n04266014,space shuttle,1149,621
n04273569,speedboat,1153,832
n04285008,sports car,1165,591
n04285965,sport utility,1936,522
n04291992,square-rigger,486,241
n04296562,stage,1233,1160
n04297098,stagecoach,1080,656
n04302988,Stanley Steamer,372,181
n04304215,starship,467,165
n04308084,stealth aircraft,1147,577
n04308273,stealth bomber,902,471
n04308397,stealth fighter,1013,538
n04308807,steamboat,176,123
n04309348,steamer,1006,604
n04309548,steamer,931,137
n04310018,steam locomotive,1187,947
n04310157,steamroller,1224,637
n04317063,sternwheeler,1093,632
n04320405,Stinger,176,12
n04322801,stock car,1530,1240
n04334504,streamliner,18,1
n04335435,streetcar,1309,867
n04336792,stretcher,1399,581
n04347119,subcompact,1055,224
n04347754,submarine,1071,553
n04348184,submersible,64,55
n04348359,submersible,647,99
n04349306,subway train,997,640
n04353573,sulky,749,580
n04359034,supertanker,264,69
n04362821,surface lift,2,1
n04363082,surface ship,488,179
n04363210,surface-to-air missile,329,56
n04363671,surfboat,402,108
n04365112,surrey,249,22
n04368695,swamp buggy,304,101
n04373428,switch engine,581,437
n04388743,tank,1813,596
n04389033,tank,1488,688
n04389521,tank car,1379,730
n04389718,tank destroyer,727,292
n04389854,tank engine,1185,751
n04389999,tanker plane,12,9
n04396650,T-bar lift,303,234
n04397027,tea cart,1295,164
n04406687,telpher,1,1
n04409011,tender,572,255
n04409128,tender,1356,639
n04409279,tender,60,45
n04415663,test rocket,561,153
n04427473,three-decker,12,1
n04443433,toboggan,233,127
n04457326,torpedo boat,45,6
n04457474,torpedo-boat destroyer,537,4
n04459122,touring car,217,90
n04460130,tower,1311,888
n04461696,tow truck,1284,603
n04464852,tracked vehicle,1133,626
n04465358,traction engine,1167,778
n04465501,tractor,1726,1277
n04465666,tractor,1358,709
n04466871,trail bike,1230,1005
n04467099,trailer,1023,429
n04467307,trailer,1363,665
n04467665,trailer truck,1300,811
n04468005,train,1312,940
n04469813,tramway,1321,1262
n04474035,transporter,1027,397
n04474187,transport ship,535,443
n04474466,trap,653,417
n04476116,trawler,1164,813
n04477725,treasure ship,322,272
n04482393,tricycle,1201,920
n04483307,trimaran,1272,673
n04485750,trireme,58,6
n04486616,troika,108,25
n04487081,trolleybus,1473,1233
n04487724,troop carrier,508,317
n04487894,troopship,335,6
n04490091,truck,1647,501
n04495843,tugboat,1200,921
n04503499,twinjet,256,35
n04509417,unicycle,1229,953
n04516354,used-car,1517,517
n04520170,van,1738,546
n04520382,van,1123,775
n04524313,vehicle,1519,1143
n04524716,velocipede,434,166
n04530566,vessel,1320,980
n04531098,vessel,1028,501
n04543158,wagon,1229,894
n04543509,wagon,298,192
n04552348,warplane,1100,870
n04552696,warship,1966,862
n04558059,water cart,2,1
n04562122,water scooter,359,95
n04563020,water wagon,202,78
n04566561,weapons carrier,572,124
n04567746,weather ship,190,124
n04571800,welcome wagon,84,4
n04574348,whaleboat,185,38
n04574999,wheel,1754,816
n04575723,wheel,560,409
n04576211,wheeled vehicle,1537,1000
n04577139,wherry,396,223
n04577293,wherry,389,204
n04583620,widebody aircraft,1099,456
n04587327,windjammer,890,500
n04606251,wreck,1240,995
n04610013,yacht,1191,937
n04612373,yawl,803,459
n04612504,yawl,1067,544
n06255081,vehicle,1559,808
n07697825,bomber,1270,1232
n07917392,sidecar,904,121
n09432283,shell,1528,1291
n09619452,finisher,25,24
n09889941,camper,1424,845
n09931418,coach,203,203
n09931640,coach,440,434
n09945745,commuter,1275,1241
n09985470,cutter,7,6
n09996304,deadhead,14,8
n10154601,hack,379,295
n10159533,hang glider,1447,1082
n10321632,Minuteman,31,27
n10362319,nonsmoker,913,53
n10382480,ordinary,32,2
n10495421,pusher,166,118
n10495555,pusher,333,164
n10495756,pusher,543,485
n10563403,scrambler,1143,712
n10604979,skidder,1227,206
n10610465,sleeper,1276,1245
n10610850,sleeper,621,577
n10690648,tanker,839,113
n10727171,trawler,1223,818
n10775128,whaler,22,12
n10792856,wrecker,493,284
n14858292,litter,1446,1322
